external_gene_name,log2FoldChange,padj,baseMean
NFE4,6.521229322,8.66E-05,363.9857531
HDC,-4.581366766,8.78E-05,276.7459709
RHOB,-2.686122415,8.81E-05,28098.21489
LINC02521,4.089488459,8.89E-05,37.0610785
NA,-6.692862847,8.99E-05,76.99602515
E2F5-DT,2.841007857,9.16E-05,57.78258252
TSPAN1,-4.827658879,9.19E-05,3968.619215
NA,6.834539449,9.19E-05,22.86186161
RUSF1,-1.634186969,9.34E-05,4260.254218
ANKRD36B,2.011082098,9.47E-05,4451.031599
SLC9A1,-1.854142258,9.68E-05,6247.109139
MIR149,-4.103710136,9.74E-05,44.71657877
CNGA1,2.685290765,9.79E-05,136.9969458
SEC14L4,5.580611467,9.82E-05,66.2453705
UBE3D,1.964893071,9.89E-05,467.6994307
PRSS33,5.660000927,9.89E-05,76.93275638
POU4F1,5.40072048,9.89E-05,70.84106008
,3.328090896,9.95E-05,235.3222962
VIM2P,2.636682231,0.000100384,88.7564882
MIR325HG,4.532623364,0.000100384,40.63821766
CFAP184,-2.428498853,0.000101923,344.6850014
ASTN2,-2.564852962,0.000102945,1283.850609
LMO1,6.280756289,0.000104078,56.09663639
PIGT,-2.14868947,0.000104226,11968.0343
LINC01460,4.534784906,0.000105767,16.2805605
RASGEF1C,4.545231433,0.000105767,159.5735946
,3.81577618,0.000105767,44.04296031
SHROOM3,-2.493645583,0.000105801,7513.973162
,3.644624624,0.000108235,16.54246231
RPS26P21,3.074739082,0.000109104,38.33559865
,-4.627001504,0.000109131,242.5180769
RASA2-IT1,3.760392755,0.000109131,108.8998463
SLC12A1,5.996102808,0.000109131,269.5477304
L3MBTL4-AS1,4.031217868,0.000109482,508.6683576
,3.377372671,0.000109625,17.88768517
SEZ6L2,-3.697972896,0.000109625,8464.255023
GPC1,-2.388292502,0.000109966,14207.28061
INGX,4.228174354,0.000109966,49.37640546
DDX10P1,2.291955074,0.000109966,136.4257957
,4.784335774,0.000113737,14.54181314
GLRA2,5.517548388,0.000114039,18.13656132
,4.253021266,0.000115131,21.3703409
Metazoa_SRP,2.162053622,0.000115131,51.36980993
,1.763306462,0.000115131,60.26127132
SPINT2,-1.801375433,0.000115247,8563.492422
MYRIP,-2.524581918,0.000115578,194.2734512
PNMA3,5.190242842,0.000115578,688.9113779
,2.157528151,0.00011619,69.72043927
KCNH8,3.753584202,0.00011619,165.3953891
NEU1,-2.027034724,0.00011619,4423.842743
ATP11A-AS1,2.889994432,0.00011619,51.23087929
HSPA2,-3.602260135,0.00011619,3626.084732
LINC01842,4.836135027,0.000119178,13.81440233
PRRT3-AS1,1.625954051,0.000120156,91.35482508
CACNA1H,-4.53273204,0.000120373,12120.40152
HDAC11,-1.71772867,0.000120439,3971.81895
TFDP1P2,4.2028976,0.00012125,22.11413705
RPP21,1.688250415,0.000121999,170.7906054
KCNJ11,-3.438385498,0.000121999,2516.423914
PRADX,-4.29433849,0.000122369,286.7416933
HRK,4.585109813,0.000124817,232.3988783
RAB19,-2.702827924,0.000124905,291.3465191
,-4.622039792,0.000125122,76.78454343
HSP90AB4P,2.988602745,0.000126286,317.5117841
TRIM8-DT,-2.51009311,0.00013141,607.1886957
SMIM8,1.902631678,0.000132355,934.3268765
RND1,-4.063565625,0.000132355,1761.031418
SCX,2.370856797,0.00013236,655.5369961
PCSK6,-2.788497494,0.000133414,3594.888819
RGS2-AS1,2.723938461,0.000137163,41.67749996
NA,5.701827582,0.000137163,15.68983311
GCAWKR,2.58016041,0.000137439,542.1243388
FOXC1,3.480102701,0.000138724,6736.08023
PTCHD1,5.062483621,0.000138724,773.4469319
ALOXE3,-3.593507372,0.000138724,148.9822455
,4.396502038,0.00014049,32.03781721
C11orf86,7.526472512,0.00014049,36.71473611
SCUBE3,3.464437013,0.000141328,3160.563512
MX2,2.122733688,0.000143998,1723.150988
PINK1,-2.12850372,0.00014451,1459.842451
KRT8P2,-5.901220582,0.000147931,78.98159096
PCDH1,-1.797263476,0.000149254,6211.934804
MIS18A-AS1,3.061279124,0.000149861,44.74059702
DUTP6,2.162263235,0.000153649,31.07280486
,5.905545369,0.000156284,5.341539596
LINC02511,6.330701793,0.000156284,68.71582173
MEIS3P2,-4.804678781,0.000156361,204.1787041
IGF2BP2,3.909900762,0.000160148,697.9260588
