"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000164007",593.578169018237,7.64945099132028,0.913258938665087,8.37599356268169,5.4759905537295e-17,1.53928206192731e-14
"ENSG00000144339",21.6708329327693,7.64559012779308,2.14935852639764,3.55714974207083,0.000374900474532099,0.00463890966650086
"ENSG00000186160",826.335335404738,7.64127371839326,0.845390947221099,9.03874561646424,1.58479886458232e-19,6.27134144869037e-17
"ENSG00000153820",21.2459146399699,7.61702110136268,2.14954839073112,3.54354483677008,0.000394786174877932,0.00483651629150875
"ENSG00000235548",21.2459146399699,7.61702110136268,2.14954839073112,3.54354483677008,0.000394786174877932,0.00483651629150875
"ENSG00000103534",2859.11176213454,7.59530898773213,0.706992765969767,10.7431212217763,6.38485902157425e-27,7.03352618541473e-24
"ENSG00000272203",20.8209963471705,7.58787488393086,2.14974598681965,3.52966114622519,0.000416092219051724,0.0050449521024492
"ENSG00000171885",20.8209963471705,7.58787488393086,2.14974598681965,3.52966114622519,0.000416092219051724,0.0050449521024492
"ENSG00000180264",1013.6262444617,7.57308268453379,0.805240709923443,9.40474393706919,5.21570477662795e-21,2.38861697742223e-18
"ENSG00000285094",446.817927889829,7.56117634898356,0.968814556426248,7.80456517589408,5.97070440015066e-15,1.20475218141456e-12
"ENSG00000231240",20.3960780543711,7.55812767132452,2.149951796767,3.51548703682106,0.000438948188513858,0.0052528153892062
"ENSG00000232294",20.3960780543711,7.55812767132452,2.149951796767,3.51548703682106,0.000438948188513858,0.0052528153892062
"ENSG00000243642",19.9711597615717,7.52775415573349,2.15016634360917,3.50101013259176,0.00046349822083618,0.00549817345257912
"ENSG00000197253",4361.09986911284,7.52599715523855,0.684478870344461,10.995222031399,4.02920659211268e-28,5.29762682219099e-25
"ENSG00000232199",19.5462414687723,7.49672739634145,2.15039019575282,3.48621725077991,0.000489902969963275,0.00573588586245012
"ENSG00000164796",19.5462414687723,7.49672739634145,2.15039019575282,3.48621725077991,0.000489902969963275,0.00573588586245012
"ENSG00000254456",19.5462414687723,7.49672739634145,2.15039019575282,3.48621725077991,0.000489902969963275,0.00573588586245012
"ENSG00000256650",19.5462414687723,7.49672739634145,2.15039019575282,3.48621725077991,0.000489902969963275,0.00573588586245012
"ENSG00000289195",19.5462414687723,7.49672739634145,2.15039019575282,3.48621725077991,0.000489902969963275,0.00573588586245012
"ENSG00000260118",19.1213231759729,7.46501867573731,2.15062397200389,3.47109433025692,0.000518341876659878,0.00601606121248178
"ENSG00000163491",1851.33631570446,7.44140470716433,0.729647185423556,10.1986341561019,2.01080332170617e-24,1.60702612920435e-21
"ENSG00000289332",102.56873867727,7.43738720940379,1.58311980622763,4.69793074418426,2.62810509093992e-06,7.74540386128852e-05
